Technology_Score,Science_Score,Arts_Score,Business_Score,Recommended_Program
6,2,4,1,Technology
8,3,3,1,Technology
6,1,1,4,Technology
8,5,2,2,Technology
6,2,7,4,Technology
6,5,4,1,Technology
6,3,1,2,Technology
10,6,2,4,Technology
7,8,4,1,Science
6,7,5,4,Science
7,5,6,3,Science
9,5,7,3,Science
3,6,3,3,Science
6,5,3,7,Science
8,7,4,3,Science
6,4,3,1,Science
5,8,3,6,Science
2,4,4,5,Science
8,6,6,2,Science
4,8,5,1,Science
7,9,2,3,Science
5,7,2,1,Science
4,9,5,2,Science
6,1,6,1,Science
4,4,1,5,Science
4,7,3,3,Science
5,4,5,2,Science
1,6,7,4,Science
4,6,3,7,Science
5,7,6,3,Science
4,6,3,2,Science
6,7,5,2,Science
5,3,5,3,Science
6,1,8,2,Science
7,4,5,1,Science
3,10,3,3,Science
6,7,4,3,Science
9,6,4,5,Science
7,9,5,1,Science
8,4,4,1,Science
4,7,4,3,Science
8,7,3,4,Science
7,4,5,4,Science
4,9,3,3,Science
4,7,1,1,Science
8,5,2,1,Science
3,4,7,5,Science
3,10,5,2,Science
1,10,1,1,Science
7,10,6,4,Science
6,8,5,3,Science
5,6,2,2,Science
1,6,2,1,Science
5,9,5,1,Science
3,8,2,2,Science
6,5,4,1,Science
3,7,1,3,Science
4,8,4,5,Science
5,6,4,4,Science
5,7,2,1,Science
2,10,1,1,Science
3,8,3,5,Science
3,7,2,7,Science
2,7,5,3,Science
4,6,4,2,Science
6,10,2,1,Science
4,10,2,6,Science
8,5,5,6,Science
4,6,2,1,Science
3,4,4,1,Science
5,3,4,4,Science
1,7,6,1,Science
8,7,2,2,Science
6,7,5,1,Science
5,4,3,1,Science
3,9,6,4,Science
2,6,6,3,Science
9,7,4,2,Science
5,6,5,4,Science
3,4,1,4,Science
2,2,4,7,Science
4,8,4,2,Science
6,6,4,3,Science
3,8,3,1,Science
6,5,4,2,Science
7,7,3,4,Science
7,8,4,1,Science
2,6,2,2,Science
5,8,3,3,Science
5,3,2,2,Science
2,8,7,5,Science
4,9,4,2,Science
3,6,3,3,Science
5,7,4,5,Science
6,4,1,4,Science
2,6,1,1,Science
6,8,2,1,Science
3,7,1,3,Science
4,8,4,1,Science
7,6,3,1,Science
4,5,3,6,Science
2,3,6,2,Science
3,9,2,6,Science
6,6,8,1,Science
6,7,6,6,Science
5,5,4,1,Science
9,7,3,3,Science
2,5,6,1,Science
2,8,6,4,Science
6,5,1,6,Science
4,6,6,4,Science
5,10,2,4,Science
5,7,7,4,Science
6,9,3,1,Science
2,3,8,1,Science
4,6,4,4,Science
6,5,3,3,Science
4,10,4,4,Science
6,9,4,1,Science
5,5,2,4,Science
7,7,4,6,Science
5,10,5,1,Science
6,7,6,4,Science
4,4,3,1,Science
3,8,7,3,Science
2,7,6,1,Science
4,7,2,4,Science
4,7,2,2,Science
6,6,7,2,Science
5,8,1,1,Science
1,9,2,8,Science
3,7,7,7,Science
9,9,6,4,Science
6,5,2,2,Science
4,6,5,4,Science
5,9,1,2,Science
3,3,3,2,Science
8,8,1,6,Science
7,8,3,1,Science
4,9,7,6,Science
4,4,4,1,Science
5,6,3,1,Science
6,5,1,1,Science
4,10,7,2,Science
3,7,2,3,Science
6,9,3,2,Science
3,5,3,3,Science
6,5,6,2,Science
4,5,1,4,Science
6,6,4,4,Science
1,5,5,1,Science
5,4,4,2,Science
1,9,2,1,Science
5,9,1,3,Science
5,8,4,2,Science
3,7,1,1,Science
5,8,1,1,Science
6,10,4,1,Science
4,9,2,1,Science
4,5,4,6,Science
5,6,3,1,Science
6,6,3,9,Science
5,5,3,5,Science
5,4,5,1,Science
8,9,3,5,Science
5,8,4,1,Science
3,9,3,2,Science
3,7,8,1,Science
5,9,3,3,Science
2,7,3,4,Science
7,10,5,3,Science
5,6,4,2,Science
5,9,1,5,Science
7,6,1,1,Science
7,6,2,1,Science
6,8,3,2,Science
4,5,7,2,Science
7,10,5,2,Science
5,6,2,3,Science
2,9,3,3,Science
5,6,5,2,Science
6,4,4,6,Science
2,5,5,3,Science
5,7,5,5,Science
5,6,5,6,Science
4,5,6,2,Science
1,8,2,2,Science
5,7,5,2,Science
6,6,5,4,Science
3,9,2,4,Science
5,10,3,2,Science
4,6,5,1,Science
2,4,5,6,Science
4,6,4,5,Science
3,7,5,4,Science
5,9,1,4,Science
3,3,5,5,Science
4,8,7,5,Science
8,8,4,1,Science
4,5,8,2,Science
5,8,4,6,Science
3,7,2,1,Science
3,6,3,1,Science
2,6,1,4,Science
5,4,3,1,Science
5,9,1,3,Science
4,8,4,1,Science
4,5,6,3,Science
8,6,2,1,Science
1,3,4,4,Science
1,8,3,3,Science
8,8,3,1,Science
1,5,3,1,Science
4,7,3,1,Science
5,7,1,5,Science
4,7,5,3,Science
6,7,2,3,Science
2,7,3,2,Science
4,3,2,3,Science
5,4,6,1,Science
6,7,2,6,Science
2,8,6,1,Science
7,6,4,3,Science
4,8,5,1,Science
7,3,6,5,Science
2,6,1,2,Science
4,8,6,5,Science
3,6,1,1,Science
6,10,1,1,Science
4,7,2,3,Science
4,6,5,3,Science
4,6,3,2,Science
4,10,5,2,Science
6,6,6,3,Science
4,7,1,1,Science
2,7,7,7,Science
6,8,1,1,Science
3,5,3,2,Science
1,8,1,3,Science
9,5,1,2,Science
7,10,1,3,Science
4,6,9,1,Science
5,7,6,3,Science
5,6,4,2,Science
6,6,4,2,Science
7,6,1,5,Science
3,5,2,5,Science
1,10,6,3,Science
4,7,5,4,Science
6,7,3,2,Science
4,9,5,1,Science
6,7,3,2,Science
7,8,2,3,Science
3,4,2,4,Science
6,8,5,4,Science
3,7,5,4,Science
7,8,4,5,Science
4,5,3,1,Science
2,4,5,2,Arts
1,5,7,1,Arts
5,6,3,1,Arts
2,3,8,2,Arts
3,1,8,1,Arts
4,5,9,1,Arts
1,5,10,5,Arts
4,4,8,1,Arts
4,6,9,8,Arts
4,3,6,1,Arts
2,4,5,3,Arts
2,7,7,2,Arts
3,5,8,1,Arts
2,4,4,1,Arts
3,6,7,3,Arts
5,4,7,2,Arts
4,3,2,2,Arts
6,6,8,5,Arts
4,5,5,2,Arts
5,7,6,2,Arts
4,6,4,1,Arts
2,2,5,2,Arts
3,7,7,3,Arts
5,2,9,2,Arts
5,2,3,4,Arts
4,3,5,5,Arts
1,8,5,4,Arts
3,6,5,2,Arts
4,2,8,1,Arts
3,3,1,2,Arts
8,6,6,2,Arts
4,6,4,5,Arts
5,6,7,3,Arts
5,6,6,1,Arts
4,8,4,1,Arts
4,5,7,3,Arts
3,7,3,1,Arts
3,1,6,6,Arts
4,5,4,1,Arts
3,4,9,4,Arts
1,5,7,5,Arts
7,2,5,1,Arts
3,5,8,2,Arts
3,5,5,7,Arts
1,5,10,3,Arts
3,4,6,5,Arts
1,8,4,2,Arts
3,6,3,3,Arts
8,2,7,1,Arts
4,5,5,3,Arts
7,4,8,1,Arts
2,5,9,3,Arts
3,4,4,4,Arts
5,4,6,3,Arts
3,4,10,2,Arts
3,3,8,2,Arts
2,7,9,1,Arts
1,7,5,4,Arts
1,6,4,4,Arts
4,3,6,4,Arts
4,6,10,1,Arts
7,5,5,1,Arts
3,6,6,6,Arts
1,4,4,3,Arts
5,4,1,3,Arts
4,5,9,1,Arts
5,7,3,3,Arts
2,4,7,2,Arts
2,5,4,1,Arts
5,2,8,3,Arts
1,3,9,1,Arts
3,5,8,2,Arts
2,7,10,4,Arts
4,3,5,4,Arts
4,7,8,1,Arts
6,3,6,3,Arts
7,10,8,2,Arts
5,6,6,6,Arts
4,5,8,3,Arts
5,3,5,1,Arts
4,6,7,6,Arts
3,6,4,2,Arts
5,6,6,2,Arts
1,4,8,4,Arts
5,5,7,1,Arts
5,5,7,1,Arts
1,7,6,1,Arts
5,4,9,4,Arts
5,2,9,3,Arts
3,5,3,3,Arts
1,2,3,5,Arts
2,8,5,1,Arts
1,7,6,1,Arts
4,6,9,5,Arts
3,2,6,3,Arts
2,3,7,2,Arts
4,3,6,1,Arts
5,7,3,1,Arts
1,3,6,1,Arts
2,2,7,3,Arts
2,5,5,2,Arts
7,7,4,4,Arts
5,2,8,6,Arts
1,3,9,3,Arts
5,5,7,1,Arts
6,7,6,2,Arts
1,6,8,2,Arts
6,4,8,1,Arts
3,4,7,2,Arts
3,6,6,1,Arts
7,7,4,4,Arts
2,5,7,2,Arts
2,3,5,1,Arts
3,3,8,5,Arts
2,5,7,3,Arts
4,6,7,1,Arts
5,6,5,3,Arts
5,4,9,7,Arts
2,2,7,4,Arts
3,7,4,4,Arts
2,8,10,1,Arts
2,6,6,2,Arts
4,1,6,1,Arts
3,7,4,4,Arts
3,4,8,3,Arts
5,6,6,1,Arts
1,3,10,5,Arts
1,2,7,4,Arts
5,4,6,3,Arts
4,1,6,1,Arts
4,10,7,2,Arts
5,5,7,4,Arts
8,2,7,1,Arts
5,3,6,2,Arts
5,6,4,3,Arts
2,2,6,2,Arts
8,5,4,1,Arts
6,9,3,1,Arts
7,5,5,4,Arts
1,5,7,4,Arts
1,5,5,3,Arts
2,4,5,4,Arts
5,4,7,1,Arts
3,4,10,1,Arts
6,6,7,6,Arts
4,5,6,5,Arts
6,3,4,2,Arts
2,4,9,2,Arts
3,5,8,1,Arts
2,5,9,2,Arts
1,6,5,1,Arts
2,4,5,1,Arts
5,7,8,1,Arts
3,4,8,4,Arts
2,5,7,5,Arts
5,6,7,5,Arts
4,3,9,4,Arts
3,4,7,3,Arts
4,5,10,5,Arts
4,6,4,3,Arts
7,4,5,1,Arts
1,3,6,1,Arts
4,6,5,6,Arts
5,7,5,4,Arts
1,6,7,4,Arts
1,3,8,1,Arts
4,2,8,1,Arts
5,6,5,4,Arts
4,3,4,1,Arts
4,1,7,2,Arts
5,4,6,4,Arts
4,5,7,1,Arts
5,6,4,2,Arts
3,4,7,5,Arts
6,2,8,5,Arts
4,7,10,5,Arts
4,7,7,3,Arts
3,8,5,6,Arts
4,2,7,1,Arts
5,6,5,3,Arts
7,3,4,5,Arts
7,5,9,5,Arts
2,4,9,6,Arts
5,3,10,1,Arts
3,5,10,4,Arts
4,5,7,4,Arts
1,4,7,1,Arts
4,4,10,6,Arts
3,4,6,2,Arts
4,3,4,4,Arts
5,3,8,1,Arts
4,6,6,3,Arts
2,4,6,1,Arts
3,1,6,2,Arts
3,4,6,3,Arts
5,3,4,1,Arts
3,4,5,1,Arts
3,5,8,1,Arts
3,3,6,1,Arts
5,1,6,3,Arts
4,10,7,1,Arts
3,1,6,1,Arts
5,3,6,1,Arts
7,4,10,4,Arts
4,5,7,1,Arts
3,6,6,1,Arts
3,8,9,2,Arts
5,4,3,1,Arts
7,4,6,2,Arts
7,8,10,2,Arts
4,1,9,1,Arts
4,2,5,1,Arts
2,3,5,4,Arts
1,5,9,1,Arts
2,4,9,3,Arts
2,5,4,4,Arts
4,4,5,1,Arts
5,7,5,3,Arts
1,3,6,1,Arts
2,3,7,2,Arts
1,1,5,3,Arts
1,4,5,5,Arts
3,5,7,1,Arts
5,5,8,10,Arts
1,8,6,3,Arts
3,4,5,3,Arts
1,6,6,1,Arts
3,7,5,3,Arts
2,6,8,6,Arts
3,6,7,5,Arts
2,6,6,2,Arts
4,5,6,3,Arts
7,6,8,2,Arts
2,6,8,5,Arts
2,4,3,2,Arts
5,4,8,2,Arts
4,2,7,1,Arts
3,1,9,4,Arts
4,8,5,6,Arts
5,4,9,1,Arts
2,3,5,1,Arts
6,4,7,1,Arts
1,5,3,2,Arts
1,8,8,3,Arts
6,3,8,3,Arts
4,7,8,3,Arts
1,3,6,3,Arts
1,9,10,4,Arts
4,4,5,3,Arts
4,2,7,2,Arts
1,2,4,10,Business
4,1,5,3,Business
5,3,4,9,Business
1,1,3,9,Business
1,1,4,8,Business
5,3,4,9,Business
1,3,5,7,Business
1,4,1,5,Business
3,2,5,7,Business
2,4,3,6,Business
4,4,3,7,Business
4,1,7,6,Business
3,6,2,5,Business
2,2,8,5,Business
1,4,2,6,Business
3,3,4,5,Business
1,4,8,7,Business
3,5,2,10,Business
3,7,3,10,Business
4,5,5,6,Business
5,4,1,4,Business
2,4,4,9,Business
1,4,1,8,Business
2,4,3,9,Business
5,5,4,8,Business
1,5,8,9,Business
1,4,2,8,Business
3,1,2,6,Business
2,1,5,7,Business
2,2,7,10,Business
2,2,5,6,Business
2,5,1,9,Business
3,3,4,6,Business
1,6,5,7,Business
4,1,5,6,Business
4,1,4,5,Business
3,4,3,5,Business
2,2,6,6,Business
1,3,2,3,Business
1,4,7,7,Business
1,4,4,5,Business
1,1,4,7,Business
2,3,3,8,Business
1,5,2,5,Business
1,2,6,8,Business
4,5,2,6,Business
1,6,2,8,Business
4,7,4,8,Business
7,2,1,3,Business
4,1,4,7,Business
3,4,5,9,Business
1,2,3,8,Business
4,4,7,4,Business
6,7,6,10,Business
1,2,3,8,Business
1,5,7,8,Business
3,2,3,9,Business
4,3,4,2,Business
1,7,2,7,Business
5,1,5,8,Business
3,9,1,9,Business
2,5,5,5,Business
3,1,6,7,Business
4,6,5,7,Business
1,2,7,9,Business
2,4,3,9,Business
4,7,3,6,Business
3,5,4,5,Business
4,5,3,9,Business
5,4,5,8,Business
1,4,1,8,Business
1,7,4,6,Business
1,3,7,2,Business
5,4,2,4,Business
6,2,2,9,Business
3,2,5,4,Business
5,6,6,7,Business
6,3,2,7,Business
7,1,4,7,Business
2,2,7,10,Business
3,2,1,7,Business
5,4,4,5,Business
1,5,6,3,Business
6,5,7,4,Business
1,3,6,10,Business
4,3,2,9,Business
1,7,4,10,Business
4,3,3,6,Business
3,4,3,6,Business
3,1,5,5,Business
1,1,1,4,Business
1,7,3,7,Business
3,4,4,4,Business
5,7,1,4,Business
2,2,6,5,Business
7,6,5,9,Business
5,2,3,7,Business
4,4,1,5,Business
2,3,8,4,Business
4,6,9,6,Business
3,5,5,6,Business
3,1,6,7,Business
2,8,3,6,Business
6,2,3,6,Business
4,4,2,5,Business
1,3,5,7,Business
1,6,5,9,Business
3,6,5,9,Business
4,3,9,8,Business
4,1,2,7,Business
3,2,5,10,Business
4,1,4,5,Business
2,3,4,4,Business
2,2,1,10,Business
5,3,5,4,Business
6,7,5,9,Business
3,1,4,7,Business
2,3,4,6,Business
3,1,3,4,Business
4,1,7,9,Business
2,1,4,6,Business
1,2,8,8,Business
1,1,4,6,Business
3,2,6,10,Business
4,3,4,6,Business
5,2,5,7,Business
1,1,5,6,Business
4,2,7,5,Business
6,1,5,7,Business
1,4,7,2,Business
4,1,3,10,Business
1,1,4,10,Business
1,1,7,10,Business
2,1,9,10,Business
4,2,4,6,Business
3,6,6,4,Business
5,4,6,9,Business
1,3,3,3,Business
3,9,1,6,Business
4,4,4,4,Business
3,2,1,9,Business
4,4,5,9,Business
3,5,4,9,Business
3,4,2,7,Business
1,2,3,4,Business
7,6,8,4,Business
3,1,3,5,Business
5,3,7,8,Business
7,1,7,9,Business
1,6,5,6,Business
1,2,9,7,Business
4,2,3,9,Business
1,3,5,7,Business
2,4,6,8,Business
1,3,7,8,Business
1,4,1,7,Business
6,2,3,8,Business
1,2,6,5,Business
2,5,5,7,Business
2,4,4,7,Business
2,3,3,6,Business
1,1,5,7,Business
4,3,5,8,Business
3,2,5,7,Business
3,1,5,10,Business
2,2,5,7,Business
5,1,6,8,Business
2,4,7,8,Business
1,5,4,7,Business
3,3,7,6,Business
1,3,5,9,Business
4,2,9,7,Business
5,3,6,8,Business
5,6,6,6,Business
1,4,6,6,Business
5,6,3,5,Business
2,4,3,9,Business
3,4,2,4,Business
3,1,7,6,Business
9,8,4,6,Business
4,7,1,3,Business
1,5,5,9,Business
1,1,6,5,Business
1,4,6,6,Business
2,3,4,4,Business
1,5,5,7,Business
1,3,1,7,Business
5,1,3,7,Business
5,3,3,3,Business
3,8,5,6,Business
3,3,3,8,Business
3,4,3,9,Business
4,2,7,6,Business
1,2,1,7,Business
1,1,1,6,Business
2,3,2,4,Business
3,2,5,5,Business
3,6,6,6,Business
3,3,5,6,Business
2,4,3,4,Business
1,1,2,7,Business
1,5,5,3,Business
4,5,3,7,Business
1,4,2,3,Business
2,3,4,4,Business
2,4,4,7,Business
1,6,2,7,Business
5,4,4,5,Business
5,1,3,6,Business
5,4,3,6,Business
1,2,6,4,Business
6,5,7,6,Business
2,1,3,7,Business
5,1,4,6,Business
1,5,3,6,Business
2,2,4,6,Business
2,2,5,10,Business
3,5,2,7,Business
1,1,3,9,Business
4,4,1,6,Business
3,4,1,5,Business
2,5,1,6,Business
3,5,6,8,Business
1,1,4,9,Business
5,5,5,7,Business
1,3,8,5,Business
6,3,7,4,Business
4,2,2,7,Business
5,2,2,6,Business
2,5,6,6,Business
6,4,4,3,Business
2,3,6,7,Business
1,4,6,10,Business
4,5,5,7,Business
5,1,4,5,Business
3,6,3,2,Business
2,5,6,7,Business
2,1,6,5,Business
7,5,3,5,Business
2,3,7,7,Business
1,7,5,8,Business
1,4,5,3,Business
7,6,4,4,Business
3,4,5,7,Business
4,6,6,4,Business
5,7,10,4,Business
3,1,6,5,Business
6,2,1,6,Business
1,5,1,7,Business
1,3,8,7,Business
